Question,No_ASD_Mean,ASD_Mean,Difference
A1,0.48513302034428796,0.8571428571428571,0.37200983679856914
A2,0.43661971830985913,0.9006211180124224,0.46400139970256327
A3,0.3348982785602504,0.906832298136646,0.5719340195763956
A4,0.29107981220657275,0.906832298136646,0.6157524859300733
A5,0.28169014084507044,0.84472049689441,0.5630303560493395
A6,0.1784037558685446,0.8012422360248447,0.6228384801563001
A7,0.2863849765258216,0.8385093167701864,0.5521243402443647
A8,0.4303599374021909,0.8198757763975155,0.3895158389953246
A9,0.37871674491392804,0.9565217391304348,0.5778049942165068
A10,0.5336463223787168,0.9503105590062112,0.4166642366274944
